"ymod" "prat" "cote" "tcon" "icat" "plos" "stress"
"23" 0.524197913305834 0.0644490261375904 0.545744583159685 0.887685552313924 0.356256188414991 0.964244228024036 11.634
"24" 0.408718601847067 0.274360143337399 0.274239562051371 0.126154538430274 0.757855667062104 0.211261762809008 9.568
"25" 0.912950416086242 0.734858607435599 0.0891562015283853 0.116937524750829 0.298322226488963 0.344606446446851 6.72
"26" 0 0 1 1 1 1 15.314
"27" 1 1 0 1 0 0 4.5033
"28" 1 0 0 0 0 1 6.0814
"29" 1 0 0 1 1 0 9.4526
"30" 0 1 1 1 0 0 8.3866
"31" 0 1 0 0 1 1 3.6397
"32" 0 1 1 0 1 0 9.8837
"33" 1 1 1 0 0 0 14.789
"34" 0 0 0 1 1 1 5.1557
"35" 0 0 1 0 1 1 14.751
"36" 1 1 1 0 1 1 16.193
"37" 0 1 0 0 0 1 3.8157
"38" 0 1 0 1 1 0 4.0866
"39" 1 0 1 0 0 0 19.884
"40" 1 0 0 0 1 0 9.2184
"41" 1 1 1 1 0 1 13.677
"42" 1 0 1 1 1 0 24.675
"43" 0 0 1 1 0 0 14.167
"44" 1 0 1 0 0 1 18.088
"45" 1 1 0 0 1 1 5.4329
"46" 0 1 0 0 1 0 3.6085
"47" 1 0 0 1 1 1 7.6953
"48" 1 1 0 1 0 1 4.5347
"49" 0 1 1 1 1 1 11.401
"50" 0 0 1 0 0 0 13.883
"51" 1 1 1 1 1 0 16.404
"52" 0 1 0 1 0 0 3.4229
"53" 0 0 0 0 1 1 4.969
"54" 1 0 0 1 0 -5.55111512312578e-17 8.0081
"55" 0 0 1 1 0 1 12.42
"56" 1 1 1 0 0 1 16.975
"57" 1 0 1 1 0 1 18.591
"58" 1 1 1 1 1 1 17.12
"59" 1 0 0 0 0 0 7.8868
"60" 0 0 1 0 1 0 16.549
"61" 0 1 0 0 0 0 3.0062
"62" 1 1 1 1 0 0 12.955
"63" 0 1 0 1 0 1 3.011
"64" 1 0 0 0 1 1 7.4144
"65" 0 1 1 0 0 1 11.335
"66" 1 1 0 0 1 0 4.7643
"67" 0 0 0 1 0 1 4.1907
"68" 0 0 1 1 1 0 17.061
"69" 0 1 0 1 1 1 3.7764
"70" 0 0 0 1 1 0 6.9219
"71" 1 1 1 0 1 0 15.203
"72" 1 0 0 1 0 1 6.2479
"73" 0 0 1 0 0 1 12.085
"74" 1 1 0 0 0 1 5.6955
"75" 0 0 0 1 0 0 5.9609
"76" 0 1 1 0 0 0 9.189
"77" 0 0 0 0 0 1 4.0803
"78" 0 1 1 1 1 0 10.688
"79" 1 0 1 1 0 0 20.334
"80" 0 1 1 0 1 1 10.813
"81" -5.55111512312578e-17 0 0 0 1 0 6.7776
"82" 1 1 0 1 1 1 5.6827
"83" 1 0 1 0 1 1 22.087
"84" 1 0 1 0 1 0 23.883
"85" 1 1 0 1 1 0 5.4983
"86" 1 0 1 1 1 1 22.933
"87" 0 1 1 1 0 1 9.1058
"88" 1 1 0 0 0 0 4.038
"89" 0 0 0 0 0 0 5.8909
"90" 0.549475722754837 0.498420393710342 0.540574683975723 0 0 0 11.039
"91" 0 0.458403695165272 0 0.49339143143955 0.484332584143732 1 3.9815
"92" 0 0 0.528973217991833 0.460145864708445 1 0.566600250692622 10.912
"93" 1 1 0.502396734077754 1 0.432524660269651 0.480192434731443 9.7483
"94" 1 0.480651420487385 0.43662767986482 0.526900784081872 -2.77555756156289e-17 1 9.8955
"95" 0.441731819207938 0.518073535001234 0 1 0.494132926508048 0 6.5816
"96" 0.544318358451092 1 1 0.513371581536994 0.472413139653072 0 11.685
"97" 0.588220880337213 0 0.4882839887722 1 1 0.478147524612814 13.978
"98" 0.484688701103829 1 0.48443110150071 0 1 0.524754144328517 8.2968
"99" 1 0 0.46324574764707 0 0.488367813375621 0.547426699852751 13.71
"100" 0.533363192339396 0 1 1 0.459032819302329 0.475561337733534 18.306
"101" 0 0.492765795845849 0.503552072449688 1 1 1 8.957
"102" 0.471223661098556 0.501582982291199 0.556127481271554 1 0 0 11.065
"103" 0 0.50659181500846 1 0 1 0.51452496610237 13.635
"104" 0 1 0.518440038158451 0.489486043439661 0 1 6.3025
"105" 1 1 0.505796820739627 0.48780473926422 0 0 8.0494
"106" 0.511607198843911 0 1 0.522486229622748 1 0 20.336
"107" 1 0.523187667424022 1 1 0.496081189984044 1 17.884
"108" 0.503715262738074 0.514172318212262 0 0 0 1 4.4161
"109" 1 0 0 0.486286961031415 0.502197388288883 1 6.7429
"110" 0.501696961690457 1 0 0.468267469000479 0 0.466979454386921 3.2263
"111" 0 0.555290414998897 0 0 0.580365777543551 0.50332963333305 4.7571
"112" 0.481503616687297 0 1 0.494304037757013 0 1 14.915
"113" 0.511919760407416 0 0 0.478907066590998 1 0.446016607204405 7.2107
"114" 0 0.49238964546508 0 1 1 0.48350582298161 5.3628
"115" 0 0 0.52666008105731 1 0 0.503622508338619 9.3903
"116" 0 1 1 0.507080246508074 0 0.48957475319835 8.415
"117" 1 0.551371766546046 0.528474635644807 0 0.526210328939978 1 11.841
"118" 0 1 0.523415177255748 1 0.478155772475191 0 6.3436
"119" 1 0 0.465848804225311 0.480482683819361 1 0 16.039
"120" 1 1 0.519953542025033 0.506402751419678 1 1 11.082
"121" 0.486308906055603 0 0 0 0 0.46903222311385 6.0099
"122" 1 1 1 0.470259261118702 0.539417799931151 0.585124206910052 14.501
"123" 0 0.53958515504494 1 1 0.567227586265497 0.539490598992285 12.801
"124" 1 0.485637564779079 0 0.516865023642654 0 0 7.0016
"125" 0.514453569363868 0 1 0.492850869173254 0 0 16.88
